2016-03-26 19:23:18 status installed libsepol1:armel 2.3-2
2016-03-26 19:23:18 configure libidn11:armel 1.29-1+b2 <none>
2016-03-26 19:23:18 status unpacked libidn11:armel 1.29-1+b2
2016-03-26 19:23:18 status half-configured libidn11:armel 1.29-1+b2
2016-03-26 19:23:18 status installed libidn11:armel 1.29-1+b2
2016-03-26 19:23:18 configure libgcc1:armel 1:4.9.2-10 <none>
2016-03-26 19:23:18 status unpacked libgcc1:armel 1:4.9.2-10
2016-03-26 19:23:18 status half-configured libgcc1:armel 1:4.9.2-10
2016-03-26 19:23:18 status installed libgcc1:armel 1:4.9.2-10
2016-03-26 19:23:18 configure libustr-1.0-1:armel 1.0.4-3+b2 <none>
2016-03-26 19:23:18 status unpacked libustr-1.0-1:armel 1.0.4-3+b2
2016-03-26 19:23:18 status half-configured libustr-1.0-1:armel 1.0.4-3+b2
2016-03-26 19:23:19 status installed libustr-1.0-1:armel 1.0.4-3+b2
2016-03-26 19:23:19 configure libwrap0:armel 7.6.q-25 <none>
2016-03-26 19:23:19 status unpacked libwrap0:armel 7.6.q-25
2016-03-26 19:23:19 status half-configured libwrap0:armel 7.6.q-25
2016-03-26 19:23:19 status installed libwrap0:armel 7.6.q-25
2016-03-26 19:23:19 configure libsmartcols1:armel 2.25.2-6 <none>
2016-03-26 19:23:19 status unpacked libsmartcols1:armel 2.25.2-6
2016-03-26 19:23:19 status half-configured libsmartcols1:armel 2.25.2-6
2016-03-26 19:23:19 status installed libsmartcols1:armel 2.25.2-6
2016-03-26 19:23:19 configure libaudit1:armel 1:2.4-1+b1 <none>
2016-03-26 19:23:19 status unpacked libaudit1:armel 1:2.4-1+b1
2016-03-26 19:23:19 status half-configured libaudit1:armel 1:2.4-1+b1
2016-03-26 19:23:19 status installed libaudit1:armel 1:2.4-1+b1
2016-03-26 19:23:19 configure libtinfo5:armel 5.9+20140913-1+b1 <none>
2016-03-26 19:23:19 status unpacked libtinfo5:armel 5.9+20140913-1+b1
2016-03-26 19:23:19 status half-configured libtinfo5:armel 5.9+20140913-1+b1
2016-03-26 19:23:19 status installed libtinfo5:armel 5.9+20140913-1+b1
2016-03-26 19:23:19 configure libudev1:armel 215-17+deb8u3 <none>
2016-03-26 19:23:19 status unpacked libudev1:armel 215-17+deb8u3
2016-03-26 19:23:19 status half-configured libudev1:armel 215-17+deb8u3
2016-03-26 19:23:19 status installed libudev1:armel 215-17+deb8u3
2016-03-26 19:23:19 configure kmod:armel 18-3 <none>
2016-03-26 19:23:19 status unpacked kmod:armel 18-3
2016-03-26 19:23:19 status half-configured kmod:armel 18-3
2016-03-26 19:23:19 status installed kmod:armel 18-3
2016-03-26 19:23:20 configure libattr1:armel 1:2.4.47-2 <none>
2016-03-26 19:23:20 status unpacked libattr1:armel 1:2.4.47-2
2016-03-26 19:23:20 status half-configured libattr1:armel 1:2.4.47-2
2016-03-26 19:23:20 status installed libattr1:armel 1:2.4.47-2
2016-03-26 19:23:20 configure libss2:armel 1.42.12-1.1 <none>
2016-03-26 19:23:20 status unpacked libss2:armel 1.42.12-1.1
2016-03-26 19:23:20 status half-configured libss2:armel 1.42.12-1.1
2016-03-26 19:23:20 status installed libss2:armel 1.42.12-1.1
2016-03-26 19:23:20 configure liblzma5:armel 5.1.1alpha+20120614-2+b3 <none>
2016-03-26 19:23:20 status unpacked liblzma5:armel 5.1.1alpha+20120614-2+b3
2016-03-26 19:23:20 status half-configured liblzma5:armel 5.1.1alpha+20120614-2+b3
2016-03-26 19:23:20 status installed liblzma5:armel 5.1.1alpha+20120614-2+b3
2016-03-26 19:23:20 configure libhogweed2:armel 2.7.1-5 <none>
2016-03-26 19:23:20 status unpacked libhogweed2:armel 2.7.1-5
2016-03-26 19:23:20 status half-configured libhogweed2:armel 2.7.1-5
2016-03-26 19:23:20 status installed libhogweed2:armel 2.7.1-5
2016-03-26 19:23:20 configure base-passwd:armel 3.5.37 <none>
2016-03-26 19:23:20 status unpacked base-passwd:armel 3.5.37
2016-03-26 19:23:20 status half-configured base-passwd:armel 3.5.37
2016-03-26 19:23:22 status installed base-passwd:armel 3.5.37
2016-03-26 19:23:22 configure libisccfg-export90:armel 1:9.9.5.dfsg-9+deb8u4 <none>
2016-03-26 19:23:22 status unpacked libisccfg-export90:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:22 status half-configured libisccfg-export90:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:22 status installed libisccfg-export90:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:22 configure e2fslibs:armel 1.42.12-1.1 <none>
2016-03-26 19:23:22 status unpacked e2fslibs:armel 1.42.12-1.1
2016-03-26 19:23:22 status half-configured e2fslibs:armel 1.42.12-1.1
2016-03-26 19:23:22 status installed e2fslibs:armel 1.42.12-1.1
2016-03-26 19:23:22 configure debianutils:armel 4.4+b1 <none>
2016-03-26 19:23:22 status unpacked debianutils:armel 4.4+b1
2016-03-26 19:23:22 status half-configured debianutils:armel 4.4+b1
2016-03-26 19:23:22 status installed debianutils:armel 4.4+b1
2016-03-26 19:23:22 configure libgcrypt20:armel 1.6.3-2 <none>
2016-03-26 19:23:22 status unpacked libgcrypt20:armel 1.6.3-2
2016-03-26 19:23:22 status half-configured libgcrypt20:armel 1.6.3-2
2016-03-26 19:23:22 status installed libgcrypt20:armel 1.6.3-2
